

   Tabela 4.3.13 - Produtos Sujeitos à Alíquota Zero da Contribuição Social
   (CST 06) - Versão 1.35 - Atualizada em 26/06/2026.

|Códig|Descrição do Produto                                   |NCM          |Início de  |Término de   |
|o    |                                                       |             |Escrituraçã|Escrituração |
|     |                                                       |             |o          |Mês/Ano      |
|     |                                                       |             |Mês/Ano    |             |
|100  |INSUMOS E PRODUTOS AGROPECUÁRIOS                       |             |           |             |
|101  |Adubos ou fertilizantes classificados no Capítulo 31,  |-            |01/2011    |             |
|     |exceto os produtos de uso veterinário, da TIPI, e suas |             |           |             |
|     |matérias-primas                                        |             |           |             |
|102  |Defensivos agropecuários classificados na posição 38.08|-            |01/2011    |             |
|     |da TIPI e suas matérias-primas                         |             |           |             |
|103  |Sementes e mudas destinadas à semeadura e plantio, em  |-            |01/2011    |             |
|     |conformidade com o disposto na Lei no 10.711/03, e     |             |           |             |
|     |produtos de natureza biológica utilizados em sua       |             |           |             |
|     |produção                                               |             |           |             |
|104  |Corretivo de solo de origem mineral classificado no    |-            |01/2011    |             |
|     |Capítulo 25 da TIPI                                    |             |           |             |
|105  |Legumes de vagem, secos, em grão, mesmo pelados ou     |0713.33.19,  |01/2011    |             |
|     |partidos; arroz; farinhas e sêmolas                    |0713.33.29,  |           |             |
|     |                                                       |0713.33.99,  |           |             |
|     |                                                       |1006.20,     |           |             |
|     |                                                       |1006.30 e    |           |             |
|     |                                                       |1106.20      |           |             |
|106  |Inoculantes agrícolas produzidos a partir de bactérias |-            |01/2011    |             |
|     |fixadoras de nitrogênio, classificados no código       |             |           |             |
|     |3002.90.99 da TIPI                                     |             |           |             |
|107  |Vacinas para medicina veterinária                      |3002.30      |01/2011    |             |
|108  |Farinha, grumos e sêmolas, grãos esmagados ou em       |1102.20      |01/2011    |             |
|     |flocos, de milho, classificados, respectivamente, nos  |1103.13      |           |             |
|     |códigos 1102.20, 1103.13 e 1104.19, todos da TIPI      |             |           |             |
|109  |Pintos de 1 (um) dia                                   |0105.11      |01/2011    |             |
|110  |Leite fluido pasteurizado ou industrializado, na forma |-            |01/2011    |             |
|     |de ultrapasteurizado, leite em pó, integral,           |             |           |             |
|     |semidesnatado ou desnatado, leite fermentado, bebidas e|             |           |             |
|     |compostos lácteos e fórmulas infantis, assim definidas |             |           |             |
|     |conforme previsão legal específica, destinados ao      |             |           |             |
|     |consumo humano ou utilizados na industrialização de    |             |           |             |
|     |produtos que se destinam ao consumo humano             |             |           |             |
|111  |Queijos tipo mozarela, minas, prato, queijo de coalho, |-            |01/2011    |             |
|     |ricota, requeijão, queijo provolone, queijo parmesão e |             |           |             |
|     |queijo fresco não maturado.                            |             |           |             |
|112  |Soro de leite fluido a ser empregado na                |-            |01/2011    |             |
|     |industrialização de produtos destinados ao consumo     |             |           |             |
|     |humano                                                 |             |           |             |
|113  |Farinha de trigo                                       |1101.00.10   |01/2011    |             |
|114  |Trigo                                                  |10.01        |01/2011    |             |
|115  |Pré-misturas próprias para fabricação de pão comum e   |1901.20.00 Ex|01/2011    |             |
|     |pão comum                                              |01 e         |           |             |
|     |                                                       |1905.90.90 Ex|           |             |
|     |                                                       |01           |           |             |
|116  |Produtos hortícolas e frutas                           |Capítulos 7 e|01/2011    |             |
|     |                                                       |8            |           |             |
|117  |Ovos                                                   |04.07        |01/2011    |             |
|118  |Venda de semens e embriões                             |05.11.10.00, |01/2011    |             |
|     |                                                       |0511.99.10 e |           |             |
|     |                                                       |0511.99.20   |           |             |
|119  |Massas alimentícias classificadas na posição 19.02 da  |1902.11.00   |02/12/2011 |             |
|     |TIPI.                                                  |1902.19.00   |           |             |
|     |                                                       |1902.20.00   |           |             |
|     |                                                       |1902.30.00   |           |             |
|120  |Queijo do reino                                        |-            |31/05/2012 |             |
|121  |Carnes bovina, suína, ovina, caprina e de aves e       |02.01,       |08/03/2013 |             |
|     |produtos de origem animal classificados nos seguintes  |02.02,       |           |             |
|     |códigos da TIPI:                                       |0206.10.00,  |           |             |
|     |a) 02.01, 02.02, 0206.10.00, 0206.2, 0210.20.00,       |0206.2,      |           |             |
|     |0506.90.00, 0510.00.10 e 1502.10.1;                    |0210.20.00,  |           |             |
|     |b) 02.03, 0206.30.00, 0206.4, 02.07, 02.09 e 0210.1 e  |0506.90.00,  |           |             |
|     |carne de frango classificada no código 0210.99.00; e   |0510.00.10 e |           |             |
|     |c) 02.04 e miudezas comestíveis de ovinos e caprinos   |1502.10.1    |           |             |
|     |classificadas no código 0206.80.00;                    |02.03,       |           |             |
|     |                                                       |02.04,       |           |             |
|     |                                                       |0206.30.00,  |           |             |
|     |                                                       |0206.4,      |           |             |
|     |                                                       |02.07,       |           |             |
|     |                                                       |02.09 e      |           |             |
|     |                                                       |0210.1       |           |             |
|122  |Peixes e outros produtos classificados nos seguintes   |03.02 (exceto|08/03/2013 |             |
|     |códigos da TIPI:                                       |0302.90.00), |           |             |
|     |                                                       |03.03 e      |           |             |
|     |                                                       |03.04        |           |             |
|123  |Café classificado nos códigos 09.01 e 2101.1 da TIPI   |-            |08/03/2013 |             |
|124  |Açúcar classificado nos códigos 1701.14.00 e 1701.99.00|1701.14.00   |08/03/2013 |             |
|     |da TIPI                                                |1701.99.00   |           |             |
|125  |Óleo de soja classificado na posição 15.07 da TIPI e   |15.07,       |08/03/2013 |             |
|     |outros óleos vegetais classificados nas posições 15.08 |15.08 a 15.14|           |             |
|     |a 15.14 da TIPI                                        |             |           |             |
|126  |Manteiga classificada no código 0405.10.00 da TIPI     |0405.10.00   |08/03/2013 |             |
|127  |Margarina classificada no código 1517.10.00            |1517.10.00   |08/03/2013 |             |
|128  |Sabões de toucador classificados no código 3401.11.90  |-            |08/03/2013 |             |
|     |Ex 01 da TIPI                                          |             |           |             |
|129  |Produtos para higiene bucal ou dentária classificados  |33.06        |08/03/2013 |             |
|     |na posição 33.06 da TIPI                               |             |           |             |
|130  |Papel higiênico classificado no código 4818.10.00 da   |4818.10.00   |08/03/2013 |             |
|     |TIPI                                                   |             |           |             |
|     |                                                       |             |           |             |
|200  |INFRAESTRUTURA: AERONAVES, EMBARCAÇÕES, OUTROS         |             |           |             |
|     |VEÍCULOS, COMBUSTÍVES                                  |             |           |             |
|201  |Aeronaves classificadas na posição 88.02 da TIPI       |88.02        |01/2011    |             |
|202  |Partes, peças, ferramentais, componentes, insumos,     |-            |01/2011    |             |
|     |fluidos hidráulicos, tintas, anticorrosivos,           |             |           |             |
|     |lubrificantes, equipamentos, serviços e matérias-primas|             |           |             |
|     |a serem empregados na manutenção, conservação,         |             |           |             |
|     |modernização, reparo, revisão, conversão e             |             |           |             |
|     |industrialização das aeronaves, seus motores, partes,  |             |           |             |
|     |componentes, ferramentais e equipamentos das aeronaves |             |           |             |
|     |referidas no código 201                                |             |           |             |
|203  |Álcool anidro adicionado à gasolina, por distribuidores|-            |01/2011    |             |
|204  |Álcool, inclusive para fins carburantes, em operações  |-            |01/2011    |             |
|     |realizadas em bolsa de mercadorias e futuros, exceto   |             |           |             |
|     |quando ocorra a liquidação física do contrato          |             |           |             |
|205  |Carvão mineral destinado à geração de energia elétrica |-            |01/2011    |             |
|206  |Biodiesel fabricado a partir de matérias-primas        |-            |01/2011    |             |
|     |produzidas nas regiões norte, nordeste e no semi-árido,|             |           |             |
|     |por agricultor familiar enquadrado no PRONAF           |             |           |             |
|207  |Valores recebidos pelos concessionários de que trata a |-            |01/2011    |             |
|     |Lei nº 6.729/1979, pela intermediação ou entrega dos   |             |           |             |
|     |veículos classificados nas posições 87.03 e 87.04 da   |             |           |             |
|     |TIPI, vendidos diretamente ao consumidor final         |             |           |             |
|208  |Veículos novos montados sobre chassis, com capacidade  |-            |01/2011    |             |
|     |para vinte e três a quarenta e quatro passageiros,     |             |           |             |
|     |classificados no código 8702.10.00 Ex. 02 e 8702.90.90 |             |           |             |
|     |Ex 02, da TIPI, destinados ao transporte escolar para a|             |           |             |
|     |educação básica na zona rural das redes estadual,      |             |           |             |
|     |municipal e distrital, quando adquiridos pelos Estados,|             |           |             |
|     |Municípios e pelo Distrito Federal                     |             |           |             |
|209  |Embarcações novas, com capacidade para vinte a trinta e|-            |01/2011    |             |
|     |cinco passageiros, classificadas no código 8901.90.00  |             |           |             |
|     |da TIPI, destinadas ao transporte escolar para a       |             |           |             |
|     |educação básica na zona rural das redes estadual,      |             |           |             |
|     |municipal e distrital, quando adquiridos pelos Estados,|             |           |             |
|     |Municípios e pelo Distrito Federal                     |             |           |             |
|210  |Materiais e equipamentos, inclusive partes, peças e    |-            |01/2011    |             |
|     |componentes, destinados ao emprego na construção,      |             |           |             |
|     |conservação, modernização, conversão ou reparo de      |             |           |             |
|     |embarcações registradas ou pré-registradas no Registro |             |           |             |
|     |Especial Brasileiro                                    |             |           |             |
|211  |Veículos e carros blindados de combate, novos, armados |-            |01/2011    |             |
|     |ou não, e suas partes, produzidos no Brasil, com peso  |             |           |             |
|     |bruto total até 30 (trinta) toneladas, classificados na|             |           |             |
|     |posição 8710.00.00 da TIPI, destinados ao uso das      |             |           |             |
|     |Forças Armadas ou órgãos de segurança pública          |             |           |             |
|     |brasileiros, quando adquiridos por órgãos e entidades  |             |           |             |
|     |da administração pública direta                        |             |           |             |
|212  |Gás natural canalizado, destinado à produção de energia|-            |01/2011    |             |
|     |elétrica pelas usinas integrantes do Programa          |             |           |             |
|     |Prioritário de Termoeletricidade, nos termos e         |             |           |             |
|     |condições estabelecidos em ato conjunto dos Ministros  |             |           |             |
|     |de Estado de Minas Energia e da Fazenda                |             |           |             |
|213  |Serviços de transporte ferroviário em sistema de trens |-            |01/2011    |             |
|     |de alta velocidade (TAV), assim entendido como a       |             |           |             |
|     |composição utilizada para efetuar a prestação do       |             |           |             |
|     |serviço público de transporte ferroviário que consiga  |             |           |             |
|     |atingir velocidade igual ou superior a 250 km/h        |             |           |             |
|     |(duzentos e cinquenta quilômetros por hora).           |             |           |             |
|214  |Receitas decorrentes da prestação de serviços regulares|-            |31/05/2013 |             |
|     |de transporte coletivo municipal rodoviário,           |             |           |             |
|     |metroviário e ferroviário de passageiros, inclusive as |             |           |             |
|     |decorrentes da prestação dos referidos serviços no     |             |           |             |
|     |território de região metropolitana regularmente        |             |           |             |
|     |constituída.                                           |             |           |             |
|215  |Receita decorrente da prestação de serviços regulares  |-            |14/11/2014 |             |
|     |de transporte coletivo municipal rodoviário,           |             |           |             |
|     |metroviário, ferroviário e aquaviário de passageiros,  |             |           |             |
|     |alcançando as receitas decorrentes da prestação dos    |             |           |             |
|     |referidos serviços:                                    |             |           |             |
|     |no território de região metropolitana regularmente     |             |           |             |
|     |constituída; e                                         |             |           |             |
|     |conforme definidos nos incisos XI a XIII do art. 4o da |             |           |             |
|     |Lei no 12.587/2012.                                    |             |           |             |
|216  |Álcool, Inclusive para Fins Carburantes - Venda por    |-            |01/09/2013 |20/07/2017   |
|     |Distribuidor                                           |             |           |             |
|216  |Álcool, inclusive para fins carburantes - Venda por    |-            |01/03/2023 |30/06/2023   |
|     |Distribuidor                                           |             |           |             |
|216  |Álcool, inclusive para fins carburantes - Receita bruta|-            |01/05/2025 |             |
|     |de venda de Distribuidor, no caso de venda de etanol   |             |           |             |
|     |combustível.                                           |             |           |             |
|217  |Óleo Diesel                                            |2710.19.21   |01/03/2021 |30/04/2021   |
|217  |Óleo Diesel                                            |2710.19.21   |11/03/2022 |31/12/2022   |
|217  |Óleo Diesel - As operações no mercado interno ou sobre |2710.19.21   |01/01/2023 |31/12/2023   |
|     |importação                                             |             |           |             |
|217  |Óleo Diesel - As operações no mercado interno ou sobre |2710.19.21   |01/01/2023 |04/09/2023   |
|     |importação                                             |             |           |             |
|217  |Óleo Diesel - As operações no mercado interno ou sobre |2710.19.21   |04/10/2023 |31/12/2023   |
|     |importação                                             |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |01/03/2021 |30/04/2021   |
|     |Óleo Diesel                                            |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |11/03/2022 |31/12/2022   |
|     |Óleo Diesel                                            |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |01/01/2023 |04/09/2023   |
|     |Óleo Diesel - As operações no mercado interno ou sobre |             |           |             |
|     |importação                                             |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |04/10/2023 |31/12/2023   |
|     |Óleo Diesel - As operações no mercado interno ou sobre |             |           |             |
|     |importação                                             |             |           |             |
|219  |GLP* quando destinado ao uso doméstico e envasado em   |2711.19.10   |01/03/2021 |             |
|     |recipientes de até treze quilogramas.                  |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |11/03/2022 |31/12/2022   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |01/01/2023 |04/09/2023   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |04/10/2023 |31/12/2023   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |07/04/2026 |31/05/2026   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |07/04/2026 |31/07/2026   |
|     |importação                                             |             |           |             |
|221  |Querosene de Aviação                                   |2710.19.11   |11/03/2022 |31/12/2022   |
|221  |Querosene de Aviação - As operações no mercado interno |2710.19.11   |01/01/2023 |28/02/2023   |
|     |ou sobre importação                                    |             |           |             |
