

4.3.14 - Tabela Operações com Isenção da Contribuição Social (CST 07) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                           |NCM              |Início de |Término de|
|       |                                               |                 |Escrituraç|Escrituraç|
|       |                                               |                 |ão        |ão        |
|       |                                               |                 |Mês/Ano   |Mês/Ano   |
|100    |MERCADORIAS E SERVIÇOS                         |                 |          |          |
|101    |Fornecimento de mercadorias ou serviços para   |-                |01/2011   |          |
|       |uso ou consumo de bordo em embarcações e       |                 |          |          |
|       |aeronaves em tráfego internacional, quando o   |                 |          |          |
|       |pagamento for efetuado em moeda conversível    |                 |          |          |
|       |(exceto querosene de aviação)                  |                 |          |          |
|102    |Transporte internacional de cargas ou          |-                |01/2011   |          |
|       |passageiros                                    |                 |          |          |
|103    |Receitas auferidas pelos estaleiros navais     |-                |01/2011   |          |
|       |brasileiros nas atividades de construção,      |                 |          |          |
|       |conservação, modernização, conversão e reparo  |                 |          |          |
|       |de embarcações pré-registradas ou registradas  |                 |          |          |
|       |no Registro Especial Brasileiro (REB),         |                 |          |          |
|       |instituído pela Lei nº 9.432, de 8 de janeiro  |                 |          |          |
|       |de 1997                                        |                 |          |          |
|104    |Frete de mercadorias transportadas entre o País|-                |01/2011   |          |
|       |e o exterior pelas embarcações registradas no  |                 |          |          |
|       |REB, de que trata o art. 11 da Lei nº 9.432, de|                 |          |          |
|       |1997                                           |                 |          |          |
|200    |ENTIDADES ESPECIAIS (COFINS)                   |                 |          |          |
|201    |Receitas relativas às atividades próprias dos  |-                |01/2011   |          |
|       |templos de qualquer culto; partidos políticos; |                 |          |          |
|       |instituições de educação e de assistência      |                 |          |          |
|       |social que preencham as condições e requisitos |                 |          |          |
|       |do art. 12 da Lei nº 9.532, de 10 de dezembro  |                 |          |          |
|       |de 1997; instituições de caráter filantrópico, |                 |          |          |
|       |recreativo, cultural, científico e as          |                 |          |          |
|       |associações, que preencham as condições e      |                 |          |          |
|       |requisitos do art. 15 da Lei nº 9.532, de 1997;|                 |          |          |
|       |sindicatos, federações e confederações;        |                 |          |          |
|       |serviços sociais autônomos, criados ou         |                 |          |          |
|       |autorizados por lei; conselhos de fiscalização |                 |          |          |
|       |de profissões regulamentadas; fundações de     |                 |          |          |
|       |direito privado; condomínios de proprietários  |                 |          |          |
|       |de imóveis residenciais ou comerciais; e       |                 |          |          |
