

4.3.16 - Tabela Operações com Suspensão da Contribuição Social (CST 09) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                              |NCM              |Início de |Término de|
|       |                                                  |                 |Escrituraç|Escrituraç|
|       |                                                  |                 |ão        |ão        |
|       |                                                  |                 |Mês/Ano   |Mês/Ano   |
|100    |MATÉRIAS-PRIMAS, PRODUTOS INTERMEDIÁRIOS E        |                 |          |          |
|       |MATERIAIS DE EMBALAGEM                            |                 |          |          |
|101    |Vendas a pessoa jurídica preponderantemente       |-                |01/2011   |          |
|       |exportadora                                       |                 |          |          |
|102    |Vendas a fabricante de veículos e carros blindados|-                |01/2011   |          |
|       |de combate, (NCM 8710.00.00) para uso pelas forças|                 |          |          |
|       |armadas ou órgãos de segurança pública            |                 |          |          |
|       |brasileiros.                                      |                 |          |          |
|103    |Aquisição no mercado interno ou a importação, de  |-                |01/2011   |          |
|       |forma combinada ou não, de mercadoria para emprego|                 |          |          |
|       |ou consumo na industrialização de produto a ser   |                 |          |          |
|       |exportado, por pessoa jurídica previamente        |                 |          |          |
|       |habilitada pela Secretaria de Comércio Exterior   |                 |          |          |
|       |(Drawback Integrado)                              |                 |          |          |
|104    |Aquisição no mercado interno ou à importação de   |-                |01/2011   |          |
|       |mercadorias para emprego em reparo, criação,      |                 |          |          |
|       |cultivo ou atividade extrativista de produto a ser|                 |          |          |
|       |exportado.                                        |                 |          |          |
|105    |Aquisição no mercado interno ou importações de    |-                |01/2011   |          |
|       |empresas denominadas fabricantes-intermediários,  |                 |          |          |
|       |para industrialização de produto intermediário a  |                 |          |          |
|       |ser diretamente fornecido a empresas              |                 |          |          |
|       |industriais-exportadoras, para emprego ou consumo |                 |          |          |
|       |na industrialização de produto final destinado à  |                 |          |          |
|       |exportação (Drawback Intermediário)               |                 |          |          |
|106    | A aquisição no mercado interno ou a importação,  |-                |01/2023   |          |
|       |de forma combinada ou não, de serviço direta e    |                 |          |          |
|       |exclusivamente vinculado à exportação ou entrega  |                 |          |          |
|       |no exterior de produto resultante da utilização do|                 |          |          |
|       |regime de que trata o art. 12 desta Lei           |                 |          |          |
|       |11.945/2009.                                      |                 |          |          |
|200    |AGROINDUSTRIA                                     |                 |          |          |
|201    |Insumos de origem animal, utilizados na fabricação|-                |01/2011   |31/12/2011|
