NCM,Produto,Qtd refs.,Situação (benefício),Dispositivo legal (RICMS-SP),cBenef sugerido,CST provável,"Existe benefício na lei, mas NÃO se aplica a esta venda",Observação
10063021,ARROZ CAMIL AGULHINHA T.1 1KG,1,ISENÇÃO (venda a consumidor final),"RICMS-SP, Anexo I, art. 168",SP011680,40,,"Art. 3º, XXVI do Anexo II remete ao art. 168 do Anexo I quando a saída é para consumidor final (caso da loja)."
10063021,ARROZ CARUNCHAOL 1KG,1,ISENÇÃO (venda a consumidor final),"RICMS-SP, Anexo I, art. 168",SP011680,40,,"Art. 3º, XXVI do Anexo II remete ao art. 168 do Anexo I quando a saída é para consumidor final (caso da loja)."
7020000,MAT PRIMA TOMATE KG,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
7031019,MAT PRIMA CEBOLA KG,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
7051900,MAT PRIMA ALFACE KG,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
7061000,MAT PRIMA CENOURA KG,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
7133399,FEIJAO CARUNCHAO CARIOCA 1KG,1,ISENÇÃO (venda a consumidor final),"RICMS-SP, Anexo I, art. 169",SP011690,40,,"Art. 3º, XXVII do Anexo II remete ao art. 169 do Anexo I quando a saída é para consumidor final (caso da loja)."
8039000,BANANA KG.,2,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
8043000,ABACAXI KG,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
8055000,MAT PRIMA LIMAO KG.,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
8061000,MAT PRIMA UVA KG,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
8061000,UVA RUBI KG,1,ISENÇÃO,"RICMS-SP, Anexo I, art. 36 (Hortifrutigranjeiros)",SP010360,40,,"Válido apenas para o produto em estado natural, sem processamento (não vale para ralado/flocos/desidratado)."
