Referência,Descrição,CST PIS Ent,PIS Ent (%) ,CST PIS Saida,PIS Saida (%),CST COFINS Ent,Cof Ent (%),Cofins Saida,% Cof Saida
0000000003,"CSTSAI01/01|CSTENT 50/50|ALISAI 0,65/3|ALIENT 0,65/3",50,"0,65",01,"0,65",50,3,01,3
0000000002,CSTSAI01/01|CSTENT 50/50|ALISAI 1.65/7.60|ALIENT 1.65/7.60,50,"1,65",01,"1,65",50,"7,6",01,"7,6"
0000000012,CSTSAI01/01|CSTENT 51/51|ALISAI 1.65/7.60|ALIENT 1.65/7.60,51,"1,65",01,"1,65",51,"7,6",01,"7,6"
0000000022,CSTSAI01/01|CSTENT 60/60|ALISAI 1.65/7.60|ALIENT 0.00/0.00,60,0,01,"1,65",60,0,01,"7,6"
0000000008,CSTSAI01/01|CSTENT 60/60|ALISAI 1.65/7.60|ALIENT 1.65/7.60,60,"1,65",01,"1,65",60,"7,6",01,"7,6"
0000000011,CSTSAI01/01|CSTENT 70/70|ALISAI 1.65/0.00|ALIENT 1.65/0.00,70,"1,65",01,"1,65",70,"7,6",01,"7,6"
0000000018,CSTSAI01/01|CSTENT 70/70|ALISAI 1.65/7.60|ALIENT 0.00/0.00,70,0,01,"1,65",70,0,01,"7,6"
0000000001,CSTSAI04/04|CSTENT 70/70|ALISAI 0/0|ALIENT 0/0,70,0,04,0,70,0,04,0
0000000013,CSTSAI04/04|CSTENT 73/73|ALISAI 0.00/0.00|ALIENT 0.00/0.00,73,0,04,0,73,0,04,0
0000000026,CSTSAI04/04|CSTENT 98/98|ALISAI 0/0|ALIENT 0/0,98,0,04,0,98,0,04,0
0000000004,"CSTSAI05/05|CSTENT 70/70|ALISAI 1,65/7,6|ALIENT 0/0",70,0,05,"1,65",70,0,05,"7,6"
0000000015,CSTSAI05/05|CSTENT 73/73|ALISAI 0.00/0.00|ALIENT 0.00/0.00,73,"1,65",05,"1,65",73,"7,6",05,"7,6"
0000000021,CSTSAI05/05|CSTENT 75/75|ALISAI 0.00/0.00|ALIENT 0.00/0.00,75,0,05,"1,65",75,0,05,"7,6"
0000000023,"CSTSAI05/05|CSTENT 75/75|ALISAI 0,65/3|ALIENT 0/0",75,0,05,"0,65",75,0,05,3
0000000020,"CSTSAI05/05|CSTENT 75/75|ALISAI 3/3|ALIENT 0,65/0,65",75,"0,65",05,"0,65",75,3,05,3
0000000024,CSTSAI05/05|CSTENT 98/98|ALISAI 0/0|ALIENT 0/0,98,0,05,0,98,0,05,0
0000000006,CSTSAI06/06|CSTENT 70/70|ALISAI 0.00/0.00|ALIENT 0.00/0.00,70,0,06,0,70,0,06,0
0000000017,CSTSAI06/06|CSTENT 72/72|ALISAI 0.00/0.00|ALIENT 0.00/0.00,72,0,06,0,72,0,06,0
0000000007,CSTSAI06/06|CSTENT 73/73|ALISAI 0/0|ALIENT 0/0,73,0,06,0,73,0,06,0
0000000025,CSTSAI06/06|CSTENT 98/98|ALISAI 0/0|ALIENT 0/0,98,0,06,0,98,0,06,0
0000000014,CSTSAI49/49|CSTENT 50/50|ALISAI 0.00/7.60|ALIENT 0.00/7.60,50,0,49,0,50,"7,6",49,"7,6"
0000000009,CSTSAI49/49|CSTENT 70/70|ALISAI 0.00/0.00|ALIENT 0.00/0.00,70,0,49,0,70,0,49,0
0000000016,CSTSAI49/49|CSTENT 73/73|ALISAI 0.00/0.00|ALIENT 0.00/0.00,73,0,49,0,73,0,49,0
0000000010,CSTSAI49/49|CSTENT 98/98|ALISAI 0.00/0.00|ALIENT 0.00/0.00,98,0,49,0,98,0,49,0
0000000019,CSTSAI49/49|CSTENT 99/99|ALISAI 0.00/0.00|ALIENT 0.00/0.00,99,0,49,0,99,0,49,0
